module,value,count
Init.Data.List.Impl,1,4
Init.Data.List.Find,0,40
Init.Data.List.Find,1,16
Init.Data.List.MinMax,0,6
Init.Data.List.Nat.Basic,0,6
Init.Data.List.Nat.Basic,1,8
Init.Data.List.Nat.Basic,2,16
Init.Data.Array.Mem,1024,2
Init.Data.Array.DecidableEq,0,2
Init.Data.Range.Basic,0,35
Init.Data.Range.Basic,1,3
Init.Data.Range.Basic,1024,4
Init.Data.List.Nat.TakeDrop,0,6
Init.Data.List.Nat.TakeDrop,1,11
Init.Data.List.Erase,0,3
Init.Data.List.Erase,1,17
Init.Data.List.Erase,2,1
Init.Data.List.Nat.Erase,1,13
Init.Data.List.Nat.Modify,0,22
Init.Data.List.Nat.Modify,1,10
Init.Data.List.Nat.InsertIdx,0,1
Init.Data.List.Nat.InsertIdx,1,14
Init.Data.List.ToArray,0,23
Init.Data.List.ToArray,1,14
Init.Data.Array.Lemmas,0,488
Init.Data.Array.Lemmas,1,53
Init.Data.Array.Lemmas,2,2
Init.Data.Array.Lemmas,4,1
Init.Data.Array.Lemmas,419,1
Init.Data.Array.Extract,0,25
Init.Data.Array.Extract,1,7
Init.Data.ByteArray.Basic,0,26
Init.Data.ByteArray.Basic,1,18
Init.Data.ByteArray.Lemmas,0,11
Init.Data.ByteArray.Lemmas,1,7
Init.Data.ByteArray.Lemmas,2,4
Init.Data.ByteArray.Lemmas,3,3
Init.Data.ByteArray.Lemmas,4,2
Init.Data.String.Decode,0,55
Init.Data.String.Decode,1,63
Init.Data.String.Decode,2,52
Init.Data.String.Decode,3,46
Init.Data.String.Decode,4,18
Init.Data.String.Decode,6,21
Init.Data.String.Decode,7,7
Init.Data.String.Decode,8,3
Init.Data.String.Decode,12,14
Init.Data.String.Decode,15,7
Init.Data.String.Decode,16,3
Init.Data.String.Decode,18,7
Init.Data.String.Decode,31,7
Init.Data.String.Decode,32,3
Init.Data.String.Decode,63,42
Init.Data.String.Decode,64,27
Init.Data.String.Decode,127,28
Init.Data.String.Decode,128,88
Init.Data.String.Decode,192,35
Init.Data.String.Decode,224,57
Init.Data.String.Decode,240,47
Init.Data.String.Decode,248,15
Init.Data.String.Decode,2047,25
Init.Data.String.Decode,2048,15
Init.Data.String.Decode,4096,6
Init.Data.String.Decode,55296,25
Init.Data.String.Decode,57343,25
Init.Data.String.Decode,65535,22
Init.Data.String.Decode,65536,21
Init.Data.String.Decode,262144,3
Init.Data.String.Decode,1114111,20
Init.Data.String.PosRaw,0,18
Init.Data.String.PosRaw,1,4
Init.Data.String.Defs,0,24
Init.Data.String.Defs,1,3
Init.Data.String.Defs,4,1
Init.Data.String.Defs,504,1
Init.Data.String.Basic,0,85
Init.Data.String.Basic,1,24
Init.Data.String.Basic,4,5
Init.Data.String.Basic,29,2
Init.Data.String.Basic,31,1
Init.Data.String.Basic,46,1
Init.Data.String.Basic,185,1
Init.Data.String.Basic,1099,1
Init.Data.String.Basic,1184,1
Init.Data.String.Basic,1544,1
